2018-01-19 20:11:21:236	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:238	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:239	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:241	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:243	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:244	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:246	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:247	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:249	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:250	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:251	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:333	00 00 00 0c 00 f1 fa 4b 00 00 00 00 00 00 00 
2018-01-19 20:11:21:335	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:336	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:338	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:339	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:341	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:343	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:344	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:346	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:347	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:349	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:350	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
